NOME,Ano,FASE,INDE,IAN,IDA,IEG,IAA,IPS,IPP,IPV,PEDRA,PONTO_VIRADA,NIVEL_IDEAL,DEFASAGEM,ANO
221,2023.0,4.0,5.484577235772358,6.0,5.828048780487805,8.666666666666668,8.45,4.5,4.0,5.0,Quartzo,0,Não,4.0,2023
222,2023.0,3.0,6.433485294117648,7.0,6.0175,9.915966386554622,8.717500000000001,4.5,4.0,7.273386554621849,Ágata,1,Não,3.0,2023
223,2023.0,3.0,6.331065789473684,7.0,5.8825,9.473684210526315,8.5825,4.5,4.0,7.042473684210527,Ágata,1,Não,3.0,2023
225,2023.0,3.0,7.056250000000001,8.0,7.65,9.6875,10.0,4.5,4.0,7.835000000000001,Ametista,1,Não,2.0,2023
226,2023.0,3.0,5.299044857581443,7.0,3.5439024390243907,8.041958041958042,6.2439024390243905,4.0,4.0,5.434344192392973,Quartzo,0,Não,3.0,2023
227,2023.0,3.0,5.7893043478260875,6.0,4.66,9.652173913043478,7.36,4.5,4.0,6.624869565217392,Ágata,0,Não,4.0,2023
228,2023.0,3.0,6.705202755905513,7.0,6.9575000000000005,9.84251968503937,9.6575,4.5,4.0,7.620007874015749,Ágata,1,Não,3.0,2023
229,2023.0,3.0,6.493776978417266,7.0,6.75,8.776978417266188,9.45,4.5,4.0,7.110791366906476,Ágata,1,Não,3.0,2023
230,2023.0,3.0,5.683209302325582,8.0,5.12,8.837209302325581,7.82,4.0,0.0,6.3828837209302325,Ágata,0,Não,2.0,2023
231,2023.0,3.0,5.384956896551724,7.0,3.9625,7.758620689655173,6.6625,4.0,4.0,5.488448275862069,Quartzo,0,Não,3.0,2023
232,2023.0,4.0,8.12623076923077,7.0,8.635,9.923076923076923,10.0,8.5,4.0,9.12323076923077,Ametista,1,Não,3.0,2023
233,2023.0,4.0,7.338833333333334,7.0,6.21,8.541666666666666,8.91,8.5,4.0,7.600666666666666,Ametista,1,Não,3.0,2023
235,2023.0,3.0,5.5872717391304345,7.0,4.4025,8.26086956521739,7.1025,4.0,4.0,5.865347826086956,Ágata,0,Não,3.0,2023
