NOME,INDE,IAN,IDA,IEG,IAA,IPS,IPP,IPV,PEDRA,PONTO_VIRADA,FASE,ANO,DEFASAGEM,NIVEL_IDEAL
ALUNO-338,5.9127081666666665,10.0,4.333333333333333,2.1,8.33334,7.5,7.34375,6.5416625,Quartzo,0.0,7.0,2020,,
ALUNO-339,8.137224,5.0,7.333333333333333,9.7,9.16668,7.5,8.749999999999998,8.444446666666668,Ametista,0.0,3.0,2020,,
ALUNO-340,7.595277333333334,5.0,7.0,9.4,8.33334,7.5,8.541666666666666,6.888883333333333,Ametista,0.0,3.0,2020,,
ALUNO-341,9.096668,10.0,9.2,10.0,9.16668,7.5,0.0,0.0,Topázio,,8.0,2020,,
ALUNO-342,8.133752000000001,10.0,8.0,9.2,9.000020000000001,5.625,5.3125,8.5,Ametista,0.0,2.0,2020,,
ALUNO-343,7.582500666666667,2.5,8.0,8.1,7.5,7.5,8.125,9.000003333333334,Ametista,1.0,3.0,2020,,
ALUNO-344,4.348541,10.0,0.0,3.8,0.0,5.0,6.71875,7.08333,Quartzo,0.0,6.0,2020,,
ALUNO-345,8.5,10.0,10.0,10.0,8.500020000000001,7.5,7.5,5.74999,Topázio,0.0,0.0,2020,,
ALUNO-346,8.418752000000001,10.0,9.5,8.0,9.000020000000001,7.5,7.1875,7.75,Ametista,0.0,1.0,2020,,
ALUNO-348,7.79167,5.0,9.5,10.0,9.50002,6.25,2.5,7.83334,Ametista,0.0,0.0,2020,,
ALUNO-349,9.200004,5.0,10.0,10.0,9.50002,7.5,10.0,10.00001,Topázio,1.0,0.0,2020,,
ALUNO-353,7.165556666666667,5.0,6.0,8.3,10.00002,6.25,7.916666666666668,6.944439999999998,Ágata,0.0,2.0,2020,,
ALUNO-354,4.656042,5.0,0.0,3.4,9.16668,4.375,7.96875,6.624995,Quartzo,0.0,4.0,2020,,
ALUNO-355,6.407502000000001,5.0,4.0,8.1,7.50002,5.0,7.708333333333334,7.333333333333333,Ágata,0.0,1.0,2020,,
ALUNO-359,8.175279333333334,10.0,7.0,9.3,8.500020000000001,7.5,7.708333333333334,7.722219999999999,Ametista,0.0,2.0,2020,,
ALUNO-361,5.668335,10.0,0.0,4.3,9.000020000000001,5.625,8.125,7.666665,Quartzo,0.0,1.0,2020,,
ALUNO-364,7.813335,10.0,7.5,9.9,9.000020000000001,4.375,5.625,7.166665,Ametista,0.0,1.0,2020,,
ALUNO-365,8.396044333333334,10.0,6.666666666666667,9.6,9.58335,5.0,8.59375,9.125005000000002,Ametista,1.0,5.0,2020,,
ALUNO-367,8.325834666666669,10.0,6.666666666666667,9.4,9.16668,7.5,8.125,8.166666666666668,Ametista,0.0,3.0,2020,,
ALUNO-368,8.695001000000001,10.0,8.3,10.0,8.75001,7.5,0.0,0.0,Ametista,,8.0,2020,,
ALUNO-370,8.613335,10.0,6.5,9.9,8.75001,7.5,8.75,9.166669999999998,Topázio,1.0,3.0,2020,,
